630 S Peck Dr;;390 High Point Dr;;15;;6.3;;-105.1607101,-105.1606602,-105.1615587,-105.1615519,-105.1180436,-105.0617141,-105.0603008,-105.0634958,-105.0612845;;40.1509225,40.150831,40.1508417,40.1525036,40.1518127,40.16008069999999,40.1613693,40.1613461,40.1654659
630 S Peck Dr;;28 University Circle;;7;;3.6;;-105.1607101,-105.1606602,-105.1615587,-105.1615519,-105.1545227,-105.1547357,-105.1456861,-105.145702,-105.146247;;40.1509225,40.150831,40.1508417,40.1525036,40.15253670000001,40.1883366,40.1885785,40.1880924,40.18809
630 S Peck Dr;;1345 S Sumner St;;9;;4.5;;-105.1607101,-105.1606602,-105.1615587,-105.1615519,-105.1545227,-105.1546385,-105.1308936,-105.1309052,-105.1201954,-105.1202206;;40.1509225,40.150831,40.1508417,40.1525036,40.15253670000001,40.1741675,40.1740248,40.1812916,40.1813091,40.1827883
630 S Peck Dr;;7484 N 49th St;;13;;7.3;;-105.1607101,-105.1606602,-105.1615587,-105.1615519,-105.2067694,-105.2068952,-105.2399574,-105.2399287;;40.1509225,40.150831,40.1508417,40.1525036,40.1523848,40.1161532,40.1162119,40.1089032
630 S Peck Dr;;225 E 8th Avellow;;12;;5.7;;-105.1607101,-105.1606602,-105.1615587,-105.1615519,-105.1545227,-105.1546385,-105.1012555,-105.0883083,-105.0882999,-105.0870726;;40.1509225,40.150831,40.1508417,40.1525036,40.15253670000001,40.1741675,40.1739245,40.1739737,40.1720435,40.1720411
630 S Peck Dr;;10135 N 75th St;;3;;1.5;;-105.1607101,-105.1606602,-105.1615587,-105.1615519,-105.1782511,-105.1783029;;40.1509225,40.150831,40.1508417,40.1525036,40.1524162,40.15856309999999
630 S Peck Dr;;3690 Oakwood Dr;;4;;1.0;;-105.1607101,-105.1606602,-105.1615587,-105.1615519,-105.1495071,-105.1495281,-105.150784;;40.1509225,40.150831,40.1508417,40.1525036,40.1525557,40.1510036,40.1508884
630 S Peck Dr;;2972 Dunes Ct;;9;;4.5;;-105.1607101,-105.1606602,-105.1615587,-105.1615519,-105.1545227,-105.1547357,-105.1407466,-105.1381077,-105.1418824,-105.1413746,-105.1411487;;40.1509225,40.150831,40.1508417,40.1525036,40.15253670000001,40.1883366,40.1886031,40.193214,40.1949683,40.1954072,40.1959789
630 S Peck Dr;;1636 18th Ave;;10;;5.1;;-105.1607101,-105.1606602,-105.1615587,-105.1615519,-105.1545227,-105.1547357,-105.1195049,-105.1187119,-105.1182469;;40.1509225,40.150831,40.1508417,40.1525036,40.15253670000001,40.1883366,40.1885504,40.1914786,40.191278
630 S Peck Dr;;2051 Sumac Str;;10;;5.2;;-105.1607101,-105.1606602,-105.1615587,-105.1615519,-105.1545227,-105.1547357,-105.1309458,-105.1309246,-105.1253444,-105.1247282;;40.1509225,40.150831,40.1508417,40.1525036,40.15253670000001,40.1883366,40.1885868,40.1958882,40.1960907,40.1955509
630 S Peck Dr;;10431 Durango Pl;;20;;10.2;;-105.1607101,-105.1606602,-105.1615587,-105.1615519,-105.1180436,-104.9890146,-104.9896614,-104.9891684,-104.9859618,-104.9858304,-104.986691;;40.1509225,40.150831,40.1508417,40.1525036,40.1518127,40.1606519,40.15584,40.1558162,40.15382899999999,40.1543514,40.15435410000001
630 S Peck Dr;;1715 Iron Horse Dr;;13;;5.8;;-105.1607101,-105.1606602,-105.1615587,-105.1615519,-105.1180436,-105.0602284,-105.0602167,-105.0602492;;40.1509225,40.150831,40.1508417,40.1525036,40.1518127,40.16011750000001,40.1591556,40.159156
630 S Peck Dr;;1551 S Sunset St;;8;;3.1;;-105.1607101,-105.1606602,-105.1615587,-105.1615519,-105.1214068,-105.121672,-105.1219526,-105.1219655;;40.1509225,40.150831,40.1508417,40.1525036,40.152368,40.1412258,40.1412277,40.1406185
630 S Peck Dr;;389 Disc Dr;;3;;0.9;;-105.1607101,-105.1606602,-105.1615587,-105.1615519,-105.1711842,-105.1711735,-105.1730059;;40.1509225,40.150831,40.1508417,40.1525036,40.1524307,40.1539413,40.1538075
630 S Peck Dr;;1500 Kansas Ave;;8;;2.8;;-105.1607101,-105.1606602,-105.1615587,-105.1615519,-105.1214068,-105.121471,-105.1188415,-105.1188243,-105.1186692;;40.1509225,40.150831,40.1508417,40.1525036,40.152368,40.14734989999999,40.1473467,40.1479995,40.1479957
630 S Peck Dr;;1079 S Hover;;5;;2.0;;-105.1607101,-105.1606602,-105.1615587,-105.1615519,-105.1352254,-105.1331891,-105.1328889,-105.1329147;;40.1509225,40.150831,40.1508417,40.1525036,40.1524199,40.147312,40.1472929,40.147592
